#,#,2,3,5,7
317,317,1,1,1,-1
318,318,2,-2,-1,2
319,319,-2,2,-2,2
320,320,-1,2,0,0
321,321,0,2,2,-2
322,322,1,-1,0,1
323,323,2,-1,2,-1
324,324,-2,-2,2,1
325,325,-1,0,-1,2
326,326,0,0,1,0
327,327,1,2,-2,1
328,328,2,2,0,-1
329,329,-2,1,0,1
330,330,-1,1,2,-1
331,331,0,-2,0,2
332,332,1,-2,2,0
333,333,2,0,-1,1
334,334,-1,-1,1,1
335,335,0,1,-2,2
336,336,1,1,0,0
337,337,2,1,2,-2
338,338,-2,0,2,0
339,339,-1,2,-1,1
340,340,0,2,1,-1
341,341,1,-1,-1,2
342,342,2,-1,1,0
343,343,-2,-2,1,2
344,344,0,0,0,1
345,345,1,0,2,-1
346,346,2,2,-1,0
347,347,-2,1,-1,2
348,348,-1,1,1,0
349,349,1,-2,1,1
350,350,2,0,-2,2
351,351,-2,2,2,-1
352,352,-1,-1,0,2
353,353,0,-1,2,0
354,354,1,1,-1,1
355,355,2,1,1,-1
356,356,-2,0,1,1
357,357,-1,2,-2,2
358,358,0,2,0,0
359,359,1,2,2,-2
360,360,2,-1,0,1
361,361,-1,-2,2,1
362,362,0,0,-1,2
363,363,1,0,1,0
