###,p,3/,/3,5/,/5,quan,tize,bass,pitchs,,,,,,bass1,bass2,bass3,bass4,bass5,bass6,bass7
4,4,1.1,0.1,1.1,0.1,,,,,,,,,,0,0.583333333333333,0.583333333333333,0.583333333333333,0.333333333333333,0.333333333333333,0.916666666666667
4.5,4,1.1,0.1,1.1,0.1,,,,,,,,,,0,0.583333333333333,0.583333333333333,0.583333333333333,0.333333333333333,0.333333333333333,0.916666666666667
13,4,0.1,2.1,1.1,0.1,,,,,,,,,,0.416666666666667,0,0,0.75,0.75,0.75,1.333
13.5,4,0.1,2.1,1.1,0.1,,,,,,,,,,0.416666666666667,0,0,0.75,0.75,0.75,1.333
19,4,3.1,0.1,0.1,0.1,,,,,,,,,,0,0,0.583333333333333,0.583333333333333,0.166666666666667,0.166666666666667,0.75
19.5,4,3.1,0.1,0.1,0.1,,,,,,,,,,0,0,0.583333333333333,0.583333333333333,0.166666666666667,0.166666666666667,0.75
27,4,2.1,2.1,0.1,0.1,,,,,,,,,,0.416666666666667,0,0,0.583333333333333,0.583333333333333,0.166666666666667,0.166666666666667
27.5,4,2.1,2.1,0.1,0.1,,,,,,,,,,0.416666666666667,0,0,0.583333333333333,0.583333333333333,0.166666666666667,0.166666666666667
36,4,1.1,4.1,0.1,0.1,,,,,,,,,,0.833333333333333,0.833333333333333,0.416666666666667,0.416666666666667,0,0,0.583333333333333
36.5,4,1.1,4.1,0.1,0.1,,,,,,,,,,0.833333333333333,0.833333333333333,0.416666666666667,0.416666666666667,0,0,0.583333333333333
40,4,1.1,0.1,0.1,2.1,,,,,,,,,,0.666666666666667,0.666666666666667,0.25,0.25,0,0,1.583
40.5,4,1.1,0.1,0.1,2.1,,,,,,,,,,0.666666666666667,0.666666666666667,0.25,0.25,0,0,1.583
47,4,0.1,6.1,0.1,0.1,,,,,,,,,,0.25,0.25,0.833333333333333,0.833333333333333,0.416666666666667,0.416666666666667,0
47.5,4,0.1,6.1,0.1,0.1,,,,,,,,,,0.25,0.25,0.833333333333333,0.833333333333333,0.416666666666667,0.416666666666667,0
51,4,0.1,2.1,0.1,2.1,,,,,,,,,,0.083333333333333,0.666666666666667,0.666666666666667,0.416666666666667,0.416666666666667,1,1
51.5,4,0.1,2.1,0.1,2.1,,,,,,,,,,0.083333333333333,0.666666666666667,0.666666666666667,0.416666666666667,0.416666666666667,1,1
