###,p,3/,/3,5/,/5,quan,tize,bass,pitchs,,,,,,bass1,bass2,bass3,bass4,bass5,bass6,bass7
1,6,2.1,0.1,1.1,0.1,,,,,,,,,,0,0.583333333333333,0.166666666666667,0.333333333333333,0.333333333333333,0.916666666666667,1.5
1.5,6,2.1,0.1,1.1,0.1,,,,,,,,,,0,0.583333333333333,0.166666666666667,0.333333333333333,0.333333333333333,0.916666666666667,1.5
6,6,5.1,0.1,0.1,0.1,,,,,,,,,,0,0.583333333333333,0.166666666666667,0.75,0.333333333333333,0.333333333333333,0.916666666666667
6.5,6,5.1,0.1,0.1,0.1,,,,,,,,,,0,0.583333333333333,0.166666666666667,0.75,0.333333333333333,0.333333333333333,0.916666666666667
9,6,1.1,2.1,1.1,0.1,,,,,,,,,,0.416666666666667,0,0.583333333333333,0.583333333333333,0.75,1.333,0.916666666666667
9.5,6,1.1,2.1,1.1,0.1,,,,,,,,,,0.416666666666667,0,0.583333333333333,0.583333333333333,0.75,1.333,0.916666666666667
14,6,4.1,2.1,0.1,0.1,,,,,,,,,,0.416666666666667,0,0.583333333333333,0.166666666666667,0.75,0.75,1.333
14.5,6,4.1,2.1,0.1,0.1,,,,,,,,,,0.416666666666667,0,0.583333333333333,0.166666666666667,0.75,0.75,1.333
15,6,3.1,4.1,0.1,0.1,,,,,,,,,,0.833333333333333,0,0,0.583333333333333,0.166666666666667,1.75,0.333333333333333
15.5,6,3.1,4.1,0.1,0.1,,,,,,,,,,0.833333333333333,0,0,0.583333333333333,0.166666666666667,1.75,0.333333333333333
16,6,0.1,4.1,1.1,0.1,,,,,,,,,,0.833333333333333,0.416666666666667,0,0.166666666666667,0.166666666666667,1.75,1.333
16.5,6,0.1,4.1,1.1,0.1,,,,,,,,,,0.833333333333333,0.416666666666667,0,0.166666666666667,0.166666666666667,1.75,1.333
29,6,2.1,6.1,0.1,0.1,,,,,,,,,,0.25,0.833333333333333,0.416666666666667,0,0.583333333333333,0.583333333333333,1.167
29.5,6,2.1,6.1,0.1,0.1,,,,,,,,,,0.25,0.833333333333333,0.416666666666667,0,0.583333333333333,0.583333333333333,1.167
33,6,2.1,0.1,0.1,2.1,,,,,,,,,,0.666666666666667,0.25,0.833333333333333,0,0,1.583,1.167
33.5,6,2.1,0.1,0.1,2.1,,,,,,,,,,0.666666666666667,0.25,0.833333333333333,0,0,1.583,1.167
39,6,1.1,8.1,0.1,0.1,,,,,,,,,,0.666666666666667,0.25,0.833333333333333,0.416666666666667,0,1.583,1.583
39.5,6,1.1,8.1,0.1,0.1,,,,,,,,,,0.666666666666667,0.25,0.833333333333333,0.416666666666667,0,1.583,1.583
43,6,1.1,2.1,0.1,2.1,,,,,,,,,,0.083333333333333,0.666666666666667,0.25,0.416666666666667,0.416666666666667,1,1.583
43.5,6,1.1,2.1,0.1,2.1,,,,,,,,,,0.083333333333333,0.666666666666667,0.25,0.416666666666667,0.416666666666667,1,1.583
50,6,0.1,10.1,0.1,0.1,,,,,,,,,,0.083333333333333,0.666666666666667,0.25,0.833333333333333,0.416666666666667,0.416666666666667,1
50.5,6,0.1,10.1,0.1,0.1,,,,,,,,,,0.083333333333333,0.666666666666667,0.25,0.833333333333333,0.416666666666667,0.416666666666667,1
54,6,0.1,4.1,0.1,2.1,,,,,,,,,,0.5,0.083333333333333,0.666666666666667,0.833333333333333,0.833333333333333,1.417,1
54.5,6,0.1,4.1,0.1,2.1,,,,,,,,,,0.5,0.083333333333333,0.666666666666667,0.833333333333333,0.833333333333333,1.417,1
