###,p,3/,/3,5/,/5,quan,tize,bass,pitchs,,,,,,bass1,bass2,bass3,bass4,bass5,bass6,bass7
3,7,6.1,0.1,0.1,0.1,,,,,,,,,,0,0.583333333333333,0.166666666666667,0.75,0.333333333333333,0.916666666666667,1.5
3.5,7,6.1,0.1,0.1,0.1,,,,,,,,,,0,0.583333333333333,0.166666666666667,0.75,0.333333333333333,0.916666666666667,1.5
8,7,5.1,2.1,0.1,0.1,,,,,,,,,,0.416666666666667,0,0.583333333333333,0.166666666666667,0.75,1.333,0.916666666666667
8.5,7,5.1,2.1,0.1,0.1,,,,,,,,,,0.416666666666667,0,0.583333333333333,0.166666666666667,0.75,1.333,0.916666666666667
18,7,4.1,4.1,0.1,0.1,,,,,,,,,,0.833333333333333,0.416666666666667,0,0.583333333333333,0.166666666666667,1.75,1.333
18.5,7,4.1,4.1,0.1,0.1,,,,,,,,,,0.833333333333333,0.416666666666667,0,0.583333333333333,0.166666666666667,1.75,1.333
25,7,3.1,6.1,0.1,0.1,,,,,,,,,,0.25,0.833333333333333,0.416666666666667,0,0.583333333333333,1.167,1.75
25.5,7,3.1,6.1,0.1,0.1,,,,,,,,,,0.25,0.833333333333333,0.416666666666667,0,0.583333333333333,1.167,1.75
31,7,2.1,8.1,0.1,0.1,,,,,,,,,,0.666666666666667,0.25,0.833333333333333,0.416666666666667,0,1.583,1.167
31.5,7,2.1,8.1,0.1,0.1,,,,,,,,,,0.666666666666667,0.25,0.833333333333333,0.416666666666667,0,1.583,1.167
42,7,1.1,10.1,0.1,0.1,,,,,,,,,,0.083333333333333,0.666666666666667,0.25,0.833333333333333,0.416666666666667,1,1.583
42.5,7,1.1,10.1,0.1,0.1,,,,,,,,,,0.083333333333333,0.666666666666667,0.25,0.833333333333333,0.416666666666667,1,1.583
