##,###,S,C,A,L,E,S,!,S,C,A,L,E,S,!,S,C,A,L,E,S
163,163,0.155,0.307,0.477,0.57,0.722,0.892,0.985,1.155,1.307,1.477,1.57,1.722,1.892,1.985,2.155,2.307,2.477,2.57,2.722,2.892
164,164,0.155,0.307,0.477,0.57,0.74,0.892,0.985,1.155,1.307,1.477,1.57,1.74,1.892,1.985,2.155,2.307,2.477,2.57,2.74,2.892
165,165,0.155,0.307,0.477,0.57,0.74,0.892,0.985,1.155,1.307,1.477,1.57,1.74,1.892,1.985,2.155,2.307,2.477,2.57,2.74,2.892
166,166,0.062,0.155,0.307,0.477,0.57,0.74,0.892,1.062,1.155,1.307,1.477,1.57,1.74,1.892,2.062,2.155,2.307,2.477,2.57,2.74
167,167,0.062,0.155,0.307,0.477,0.57,0.74,0.892,1.062,1.155,1.307,1.477,1.57,1.74,1.892,2.062,2.155,2.307,2.477,2.57,2.74
168,168,0.062,0.155,0.325,0.477,0.57,0.74,0.892,1.062,1.155,1.325,1.477,1.57,1.74,1.892,2.062,2.155,2.325,2.477,2.57,2.74
169,169,0.062,0.155,0.325,0.477,0.57,0.74,0.892,1.062,1.155,1.325,1.477,1.57,1.74,1.892,2.062,2.155,2.325,2.477,2.57,2.74
170,170,0.062,0.155,0.325,0.477,0.647,0.74,0.892,1.062,1.155,1.325,1.477,1.647,1.74,1.892,2.062,2.155,2.325,2.477,2.647,2.74
171,171,0.062,0.155,0.325,0.477,0.647,0.74,0.892,1.062,1.155,1.325,1.477,1.647,1.74,1.892,2.062,2.155,2.325,2.477,2.647,2.74
172,172,0.062,0.155,0.325,0.477,0.647,0.74,0.91,1.062,1.155,1.325,1.477,1.647,1.74,1.91,2.062,2.155,2.325,2.477,2.647,2.74
173,173,0.062,0.155,0.325,0.477,0.647,0.74,0.91,1.062,1.155,1.325,1.477,1.647,1.74,1.91,2.062,2.155,2.325,2.477,2.647,2.74
174,174,0.062,0.232,0.325,0.477,0.647,0.74,0.91,1.062,1.232,1.325,1.477,1.647,1.74,1.91,2.062,2.232,2.325,2.477,2.647,2.74
175,175,0.062,0.232,0.325,0.477,0.647,0.74,0.91,1.062,1.232,1.325,1.477,1.647,1.74,1.91,2.062,2.232,2.325,2.477,2.647,2.74
176,176,0.062,0.232,0.325,0.495,0.647,0.74,0.91,1.062,1.232,1.325,1.495,1.647,1.74,1.91,2.062,2.232,2.325,2.495,2.647,2.74
177,177,0.062,0.232,0.325,0.495,0.647,0.74,0.91,1.062,1.232,1.325,1.495,1.647,1.74,1.91,2.062,2.232,2.325,2.495,2.647,2.74
178,178,0.062,0.232,0.325,0.495,0.647,0.817,0.91,1.062,1.232,1.325,1.495,1.647,1.817,1.91,2.062,2.232,2.325,2.495,2.647,2.817
179,179,0.062,0.232,0.325,0.495,0.647,0.817,0.91,1.062,1.232,1.325,1.495,1.647,1.817,1.91,2.062,2.232,2.325,2.495,2.647,2.817
180,180,0.08,0.232,0.325,0.495,0.647,0.817,0.91,1.08,1.232,1.325,1.495,1.647,1.817,1.91,2.08,2.232,2.325,2.495,2.647,2.817
181,181,0.08,0.232,0.325,0.495,0.647,0.817,0.91,1.08,1.232,1.325,1.495,1.647,1.817,1.91,2.08,2.232,2.325,2.495,2.647,2.817
182,182,0.08,0.232,0.402,0.495,0.647,0.817,0.91,1.08,1.232,1.402,1.495,1.647,1.817,1.91,2.08,2.232,2.402,2.495,2.647,2.817
183,183,0.08,0.232,0.402,0.495,0.647,0.817,0.91,1.08,1.232,1.402,1.495,1.647,1.817,1.91,2.08,2.232,2.402,2.495,2.647,2.817
184,184,0.08,0.232,0.402,0.495,0.665,0.817,0.91,1.08,1.232,1.402,1.495,1.665,1.817,1.91,2.08,2.232,2.402,2.495,2.665,2.817
185,185,0.08,0.232,0.402,0.495,0.665,0.817,0.91,1.08,1.232,1.402,1.495,1.665,1.817,1.91,2.08,2.232,2.402,2.495,2.665,2.817
186,186,0.08,0.232,0.402,0.495,0.665,0.817,0.987,1.08,1.232,1.402,1.495,1.665,1.817,1.987,2.08,2.232,2.402,2.495,2.665,2.817
187,187,0.08,0.232,0.402,0.495,0.665,0.817,0.987,1.08,1.232,1.402,1.495,1.665,1.817,1.987,2.08,2.232,2.402,2.495,2.665,2.817
188,188,0.08,0.25,0.402,0.495,0.665,0.817,0.987,1.08,1.25,1.402,1.495,1.665,1.817,1.987,2.08,2.25,2.402,2.495,2.665,2.817
189,189,0.08,0.25,0.402,0.495,0.665,0.817,0.987,1.08,1.25,1.402,1.495,1.665,1.817,1.987,2.08,2.25,2.402,2.495,2.665,2.817
190,190,0.08,0.25,0.402,0.572,0.665,0.817,0.987,1.08,1.25,1.402,1.572,1.665,1.817,1.987,2.08,2.25,2.402,2.572,2.665,2.817
191,191,0.08,0.25,0.402,0.572,0.665,0.817,0.987,1.08,1.25,1.402,1.572,1.665,1.817,1.987,2.08,2.25,2.402,2.572,2.665,2.817
192,192,0.08,0.25,0.402,0.572,0.665,0.835,0.987,1.08,1.25,1.402,1.572,1.665,1.835,1.987,2.08,2.25,2.402,2.572,2.665,2.835
193,193,0.08,0.25,0.402,0.572,0.665,0.835,0.987,1.08,1.25,1.402,1.572,1.665,1.835,1.987,2.08,2.25,2.402,2.572,2.665,2.835
194,194,0.157,0.25,0.402,0.572,0.665,0.835,0.987,1.157,1.25,1.402,1.572,1.665,1.835,1.987,2.157,2.25,2.402,2.572,2.665,2.835
195,195,0.157,0.25,0.402,0.572,0.665,0.835,0.987,1.157,1.25,1.402,1.572,1.665,1.835,1.987,2.157,2.25,2.402,2.572,2.665,2.835
196,196,0.157,0.25,0.42,0.572,0.665,0.835,0.987,1.157,1.25,1.42,1.572,1.665,1.835,1.987,2.157,2.25,2.42,2.572,2.665,2.835
197,197,0.157,0.25,0.42,0.572,0.665,0.835,0.987,1.157,1.25,1.42,1.572,1.665,1.835,1.987,2.157,2.25,2.42,2.572,2.665,2.835
198,198,0.157,0.25,0.42,0.572,0.742,0.835,0.987,1.157,1.25,1.42,1.572,1.742,1.835,1.987,2.157,2.25,2.42,2.572,2.742,2.835
199,199,0.157,0.25,0.42,0.572,0.742,0.835,0.987,1.157,1.25,1.42,1.572,1.742,1.835,1.987,2.157,2.25,2.42,2.572,2.742,2.835
200,200,0.005,0.157,0.25,0.42,0.572,0.742,0.835,1.005,1.157,1.25,1.42,1.572,1.742,1.835,2.005,2.157,2.25,2.42,2.572,2.742
201,201,0.005,0.157,0.25,0.42,0.572,0.742,0.835,1.005,1.157,1.25,1.42,1.572,1.742,1.835,2.005,2.157,2.25,2.42,2.572,2.742
202,202,0.005,0.157,0.327,0.42,0.572,0.742,0.835,1.005,1.157,1.327,1.42,1.572,1.742,1.835,2.005,2.157,2.327,2.42,2.572,2.742
203,203,0.005,0.157,0.327,0.42,0.572,0.742,0.835,1.005,1.157,1.327,1.42,1.572,1.742,1.835,2.005,2.157,2.327,2.42,2.572,2.742
204,204,0.005,0.157,0.327,0.42,0.59,0.742,0.835,1.005,1.157,1.327,1.42,1.59,1.742,1.835,2.005,2.157,2.327,2.42,2.59,2.742
205,205,0.005,0.157,0.327,0.42,0.59,0.742,0.835,1.005,1.157,1.327,1.42,1.59,1.742,1.835,2.005,2.157,2.327,2.42,2.59,2.742
206,206,0.005,0.157,0.327,0.42,0.59,0.742,0.912,1.005,1.157,1.327,1.42,1.59,1.742,1.912,2.005,2.157,2.327,2.42,2.59,2.742
207,207,0.005,0.157,0.327,0.42,0.59,0.742,0.912,1.005,1.157,1.327,1.42,1.59,1.742,1.912,2.005,2.157,2.327,2.42,2.59,2.742
208,208,0.005,0.175,0.327,0.42,0.59,0.742,0.912,1.005,1.175,1.327,1.42,1.59,1.742,1.912,2.005,2.175,2.327,2.42,2.59,2.742
209,209,0.005,0.175,0.327,0.42,0.59,0.742,0.912,1.005,1.175,1.327,1.42,1.59,1.742,1.912,2.005,2.175,2.327,2.42,2.59,2.742
210,210,0.005,0.175,0.327,0.497,0.59,0.742,0.912,1.005,1.175,1.327,1.497,1.59,1.742,1.912,2.005,2.175,2.327,2.497,2.59,2.742
211,211,0.005,0.175,0.327,0.497,0.59,0.742,0.912,1.005,1.175,1.327,1.497,1.59,1.742,1.912,2.005,2.175,2.327,2.497,2.59,2.742
212,212,0.005,0.175,0.327,0.497,0.59,0.76,0.912,1.005,1.175,1.327,1.497,1.59,1.76,1.912,2.005,2.175,2.327,2.497,2.59,2.76
213,213,0.005,0.175,0.327,0.497,0.59,0.76,0.912,1.005,1.175,1.327,1.497,1.59,1.76,1.912,2.005,2.175,2.327,2.497,2.59,2.76
214,214,0.082,0.175,0.327,0.497,0.59,0.76,0.912,1.082,1.175,1.327,1.497,1.59,1.76,1.912,2.082,2.175,2.327,2.497,2.59,2.76
215,215,0.082,0.175,0.327,0.497,0.59,0.76,0.912,1.082,1.175,1.327,1.497,1.59,1.76,1.912,2.082,2.175,2.327,2.497,2.59,2.76
216,216,0.082,0.175,0.345,0.497,0.59,0.76,0.912,1.082,1.175,1.345,1.497,1.59,1.76,1.912,2.082,2.175,2.345,2.497,2.59,2.76
217,217,0.082,0.175,0.345,0.497,0.59,0.76,0.912,1.082,1.175,1.345,1.497,1.59,1.76,1.912,2.082,2.175,2.345,2.497,2.59,2.76
218,218,0.082,0.175,0.345,0.497,0.667,0.76,0.912,1.082,1.175,1.345,1.497,1.667,1.76,1.912,2.082,2.175,2.345,2.497,2.667,2.76
219,219,0.082,0.175,0.345,0.497,0.667,0.76,0.912,1.082,1.175,1.345,1.497,1.667,1.76,1.912,2.082,2.175,2.345,2.497,2.667,2.76
220,220,0.082,0.175,0.345,0.497,0.667,0.76,0.93,1.082,1.175,1.345,1.497,1.667,1.76,1.93,2.082,2.175,2.345,2.497,2.667,2.76
221,221,0.082,0.175,0.345,0.497,0.667,0.76,0.93,1.082,1.175,1.345,1.497,1.667,1.76,1.93,2.082,2.175,2.345,2.497,2.667,2.76
222,222,0.082,0.252,0.345,0.497,0.667,0.76,0.93,1.082,1.252,1.345,1.497,1.667,1.76,1.93,2.082,2.252,2.345,2.497,2.667,2.76
223,223,0.082,0.252,0.345,0.497,0.667,0.76,0.93,1.082,1.252,1.345,1.497,1.667,1.76,1.93,2.082,2.252,2.345,2.497,2.667,2.76
224,224,0.082,0.252,0.345,0.515,0.667,0.76,0.93,1.082,1.252,1.345,1.515,1.667,1.76,1.93,2.082,2.252,2.345,2.515,2.667,2.76
225,225,0.082,0.252,0.345,0.515,0.667,0.76,0.93,1.082,1.252,1.345,1.515,1.667,1.76,1.93,2.082,2.252,2.345,2.515,2.667,2.76
226,226,0.082,0.252,0.345,0.515,0.667,0.837,0.93,1.082,1.252,1.345,1.515,1.667,1.837,1.93,2.082,2.252,2.345,2.515,2.667,2.837
227,227,0.082,0.252,0.345,0.515,0.667,0.837,0.93,1.082,1.252,1.345,1.515,1.667,1.837,1.93,2.082,2.252,2.345,2.515,2.667,2.837
228,228,0.1,0.252,0.345,0.515,0.667,0.837,0.93,1.1,1.252,1.345,1.515,1.667,1.837,1.93,2.1,2.252,2.345,2.515,2.667,2.837
229,229,0.1,0.252,0.345,0.515,0.667,0.837,0.93,1.1,1.252,1.345,1.515,1.667,1.837,1.93,2.1,2.252,2.345,2.515,2.667,2.837
230,230,0.1,0.252,0.422,0.515,0.667,0.837,0.93,1.1,1.252,1.422,1.515,1.667,1.837,1.93,2.1,2.252,2.422,2.515,2.667,2.837
231,231,0.1,0.252,0.422,0.515,0.667,0.837,0.93,1.1,1.252,1.422,1.515,1.667,1.837,1.93,2.1,2.252,2.422,2.515,2.667,2.837
232,232,0.1,0.252,0.422,0.515,0.685,0.837,0.93,1.1,1.252,1.422,1.515,1.685,1.837,1.93,2.1,2.252,2.422,2.515,2.685,2.837
233,233,0.1,0.252,0.422,0.515,0.685,0.837,0.93,1.1,1.252,1.422,1.515,1.685,1.837,1.93,2.1,2.252,2.422,2.515,2.685,2.837
234,234,0.007,0.1,0.252,0.422,0.515,0.685,0.837,1.007,1.1,1.252,1.422,1.515,1.685,1.837,2.007,2.1,2.252,2.422,2.515,2.685
235,235,0.007,0.1,0.252,0.422,0.515,0.685,0.837,1.007,1.1,1.252,1.422,1.515,1.685,1.837,2.007,2.1,2.252,2.422,2.515,2.685
236,236,0.007,0.1,0.27,0.422,0.515,0.685,0.837,1.007,1.1,1.27,1.422,1.515,1.685,1.837,2.007,2.1,2.27,2.422,2.515,2.685
237,237,0.007,0.1,0.27,0.422,0.515,0.685,0.837,1.007,1.1,1.27,1.422,1.515,1.685,1.837,2.007,2.1,2.27,2.422,2.515,2.685
238,238,0.007,0.1,0.27,0.422,0.592,0.685,0.837,1.007,1.1,1.27,1.422,1.592,1.685,1.837,2.007,2.1,2.27,2.422,2.592,2.685
239,239,0.007,0.1,0.27,0.422,0.592,0.685,0.837,1.007,1.1,1.27,1.422,1.592,1.685,1.837,2.007,2.1,2.27,2.422,2.592,2.685
240,240,0.007,0.1,0.27,0.422,0.592,0.685,0.855,1.007,1.1,1.27,1.422,1.592,1.685,1.855,2.007,2.1,2.27,2.422,2.592,2.685
241,241,0.007,0.1,0.27,0.422,0.592,0.685,0.855,1.007,1.1,1.27,1.422,1.592,1.685,1.855,2.007,2.1,2.27,2.422,2.592,2.685
242,242,0.007,0.177,0.27,0.422,0.592,0.685,0.855,1.007,1.177,1.27,1.422,1.592,1.685,1.855,2.007,2.177,2.27,2.422,2.592,2.685
243,243,0.007,0.177,0.27,0.422,0.592,0.685,0.855,1.007,1.177,1.27,1.422,1.592,1.685,1.855,2.007,2.177,2.27,2.422,2.592,2.685
244,244,0.007,0.177,0.27,0.44,0.592,0.685,0.855,1.007,1.177,1.27,1.44,1.592,1.685,1.855,2.007,2.177,2.27,2.44,2.592,2.685
245,245,0.007,0.177,0.27,0.44,0.592,0.685,0.855,1.007,1.177,1.27,1.44,1.592,1.685,1.855,2.007,2.177,2.27,2.44,2.592,2.685
246,246,0.007,0.177,0.27,0.44,0.592,0.762,0.855,1.007,1.177,1.27,1.44,1.592,1.762,1.855,2.007,2.177,2.27,2.44,2.592,2.762
247,247,0.007,0.177,0.27,0.44,0.592,0.762,0.855,1.007,1.177,1.27,1.44,1.592,1.762,1.855,2.007,2.177,2.27,2.44,2.592,2.762
248,248,0.025,0.177,0.27,0.44,0.592,0.762,0.855,1.025,1.177,1.27,1.44,1.592,1.762,1.855,2.025,2.177,2.27,2.44,2.592,2.762
249,249,0.025,0.177,0.27,0.44,0.592,0.762,0.855,1.025,1.177,1.27,1.44,1.592,1.762,1.855,2.025,2.177,2.27,2.44,2.592,2.762
250,250,0.025,0.177,0.347,0.44,0.592,0.762,0.855,1.025,1.177,1.347,1.44,1.592,1.762,1.855,2.025,2.177,2.347,2.44,2.592,2.762
251,251,0.025,0.177,0.347,0.44,0.592,0.762,0.855,1.025,1.177,1.347,1.44,1.592,1.762,1.855,2.025,2.177,2.347,2.44,2.592,2.762
252,252,0.025,0.177,0.347,0.44,0.61,0.762,0.855,1.025,1.177,1.347,1.44,1.61,1.762,1.855,2.025,2.177,2.347,2.44,2.61,2.762
253,253,0.025,0.177,0.347,0.44,0.61,0.762,0.855,1.025,1.177,1.347,1.44,1.61,1.762,1.855,2.025,2.177,2.347,2.44,2.61,2.762
254,254,0.025,0.177,0.347,0.44,0.61,0.762,0.932,1.025,1.177,1.347,1.44,1.61,1.762,1.932,2.025,2.177,2.347,2.44,2.61,2.762
255,255,0.025,0.177,0.347,0.44,0.61,0.762,0.932,1.025,1.177,1.347,1.44,1.61,1.762,1.932,2.025,2.177,2.347,2.44,2.61,2.762
256,256,0.025,0.195,0.347,0.44,0.61,0.762,0.932,1.025,1.195,1.347,1.44,1.61,1.762,1.932,2.025,2.195,2.347,2.44,2.61,2.762
257,257,0.025,0.195,0.347,0.44,0.61,0.762,0.932,1.025,1.195,1.347,1.44,1.61,1.762,1.932,2.025,2.195,2.347,2.44,2.61,2.762
258,258,0.025,0.195,0.347,0.517,0.61,0.762,0.932,1.025,1.195,1.347,1.517,1.61,1.762,1.932,2.025,2.195,2.347,2.517,2.61,2.762
259,259,0.025,0.195,0.347,0.517,0.61,0.762,0.932,1.025,1.195,1.347,1.517,1.61,1.762,1.932,2.025,2.195,2.347,2.517,2.61,2.762
260,260,0.025,0.195,0.347,0.517,0.61,0.78,0.932,1.025,1.195,1.347,1.517,1.61,1.78,1.932,2.025,2.195,2.347,2.517,2.61,2.78
261,261,0.025,0.195,0.347,0.517,0.61,0.78,0.932,1.025,1.195,1.347,1.517,1.61,1.78,1.932,2.025,2.195,2.347,2.517,2.61,2.78
262,262,0.102,0.195,0.347,0.517,0.61,0.78,0.932,1.102,1.195,1.347,1.517,1.61,1.78,1.932,2.102,2.195,2.347,2.517,2.61,2.78
263,263,0.102,0.195,0.347,0.517,0.61,0.78,0.932,1.102,1.195,1.347,1.517,1.61,1.78,1.932,2.102,2.195,2.347,2.517,2.61,2.78
264,264,0.102,0.195,0.365,0.517,0.61,0.78,0.932,1.102,1.195,1.365,1.517,1.61,1.78,1.932,2.102,2.195,2.365,2.517,2.61,2.78
265,265,0.102,0.195,0.365,0.517,0.61,0.78,0.932,1.102,1.195,1.365,1.517,1.61,1.78,1.932,2.102,2.195,2.365,2.517,2.61,2.78
266,266,0.102,0.195,0.365,0.517,0.687,0.78,0.932,1.102,1.195,1.365,1.517,1.687,1.78,1.932,2.102,2.195,2.365,2.517,2.687,2.78
267,267,0.102,0.195,0.365,0.517,0.687,0.78,0.932,1.102,1.195,1.365,1.517,1.687,1.78,1.932,2.102,2.195,2.365,2.517,2.687,2.78
268,268,0.102,0.195,0.365,0.517,0.687,0.78,0.95,1.102,1.195,1.365,1.517,1.687,1.78,1.95,2.102,2.195,2.365,2.517,2.687,2.78
269,269,0.102,0.195,0.365,0.517,0.687,0.78,0.95,1.102,1.195,1.365,1.517,1.687,1.78,1.95,2.102,2.195,2.365,2.517,2.687,2.78
270,270,0.102,0.272,0.365,0.517,0.687,0.78,0.95,1.102,1.272,1.365,1.517,1.687,1.78,1.95,2.102,2.272,2.365,2.517,2.687,2.78
271,271,0.102,0.272,0.365,0.517,0.687,0.78,0.95,1.102,1.272,1.365,1.517,1.687,1.78,1.95,2.102,2.272,2.365,2.517,2.687,2.78
272,272,0.102,0.272,0.365,0.535,0.687,0.78,0.95,1.102,1.272,1.365,1.535,1.687,1.78,1.95,2.102,2.272,2.365,2.535,2.687,2.78
273,273,0.102,0.272,0.365,0.535,0.687,0.78,0.95,1.102,1.272,1.365,1.535,1.687,1.78,1.95,2.102,2.272,2.365,2.535,2.687,2.78
274,274,0.102,0.272,0.365,0.535,0.687,0.857,0.95,1.102,1.272,1.365,1.535,1.687,1.857,1.95,2.102,2.272,2.365,2.535,2.687,2.857
275,275,0.102,0.272,0.365,0.535,0.687,0.857,0.95,1.102,1.272,1.365,1.535,1.687,1.857,1.95,2.102,2.272,2.365,2.535,2.687,2.857
276,276,0.12,0.272,0.365,0.535,0.687,0.857,0.95,1.12,1.272,1.365,1.535,1.687,1.857,1.95,2.12,2.272,2.365,2.535,2.687,2.857
277,277,0.12,0.272,0.365,0.535,0.687,0.857,0.95,1.12,1.272,1.365,1.535,1.687,1.857,1.95,2.12,2.272,2.365,2.535,2.687,2.857
278,278,0.12,0.272,0.442,0.535,0.687,0.857,0.95,1.12,1.272,1.442,1.535,1.687,1.857,1.95,2.12,2.272,2.442,2.535,2.687,2.857
279,279,0.12,0.272,0.442,0.535,0.687,0.857,0.95,1.12,1.272,1.442,1.535,1.687,1.857,1.95,2.12,2.272,2.442,2.535,2.687,2.857
280,280,0.12,0.272,0.442,0.535,0.705,0.857,0.95,1.12,1.272,1.442,1.535,1.705,1.857,1.95,2.12,2.272,2.442,2.535,2.705,2.857
281,281,0.12,0.272,0.442,0.535,0.705,0.857,0.95,1.12,1.272,1.442,1.535,1.705,1.857,1.95,2.12,2.272,2.442,2.535,2.705,2.857
282,282,0.027,0.12,0.272,0.442,0.535,0.705,0.857,1.027,1.12,1.272,1.442,1.535,1.705,1.857,2.027,2.12,2.272,2.442,2.535,2.705
283,283,0.027,0.12,0.272,0.442,0.535,0.705,0.857,1.027,1.12,1.272,1.442,1.535,1.705,1.857,2.027,2.12,2.272,2.442,2.535,2.705
284,284,0.027,0.12,0.29,0.442,0.535,0.705,0.857,1.027,1.12,1.29,1.442,1.535,1.705,1.857,2.027,2.12,2.29,2.442,2.535,2.705
285,285,0.027,0.12,0.29,0.442,0.535,0.705,0.857,1.027,1.12,1.29,1.442,1.535,1.705,1.857,2.027,2.12,2.29,2.442,2.535,2.705
286,286,0.027,0.12,0.29,0.442,0.612,0.705,0.857,1.027,1.12,1.29,1.442,1.612,1.705,1.857,2.027,2.12,2.29,2.442,2.612,2.705
287,287,0.027,0.12,0.29,0.442,0.612,0.705,0.857,1.027,1.12,1.29,1.442,1.612,1.705,1.857,2.027,2.12,2.29,2.442,2.612,2.705
288,288,0.027,0.12,0.29,0.442,0.612,0.705,0.875,1.027,1.12,1.29,1.442,1.612,1.705,1.875,2.027,2.12,2.29,2.442,2.612,2.705
289,289,0.027,0.12,0.29,0.442,0.612,0.705,0.875,1.027,1.12,1.29,1.442,1.612,1.705,1.875,2.027,2.12,2.29,2.442,2.612,2.705
290,290,0.027,0.197,0.29,0.442,0.612,0.705,0.875,1.027,1.197,1.29,1.442,1.612,1.705,1.875,2.027,2.197,2.29,2.442,2.612,2.705
291,291,0.027,0.197,0.29,0.442,0.612,0.705,0.875,1.027,1.197,1.29,1.442,1.612,1.705,1.875,2.027,2.197,2.29,2.442,2.612,2.705
292,292,0.027,0.197,0.29,0.46,0.612,0.705,0.875,1.027,1.197,1.29,1.46,1.612,1.705,1.875,2.027,2.197,2.29,2.46,2.612,2.705
293,293,0.027,0.197,0.29,0.46,0.612,0.705,0.875,1.027,1.197,1.29,1.46,1.612,1.705,1.875,2.027,2.197,2.29,2.46,2.612,2.705
294,294,0.027,0.197,0.29,0.46,0.612,0.782,0.875,1.027,1.197,1.29,1.46,1.612,1.782,1.875,2.027,2.197,2.29,2.46,2.612,2.782
295,295,0.027,0.197,0.29,0.46,0.612,0.782,0.875,1.027,1.197,1.29,1.46,1.612,1.782,1.875,2.027,2.197,2.29,2.46,2.612,2.782
296,296,0.045,0.197,0.29,0.46,0.612,0.782,0.875,1.045,1.197,1.29,1.46,1.612,1.782,1.875,2.045,2.197,2.29,2.46,2.612,2.782
297,297,0.045,0.197,0.29,0.46,0.612,0.782,0.875,1.045,1.197,1.29,1.46,1.612,1.782,1.875,2.045,2.197,2.29,2.46,2.612,2.782
298,298,0.045,0.197,0.367,0.46,0.612,0.782,0.875,1.045,1.197,1.367,1.46,1.612,1.782,1.875,2.045,2.197,2.367,2.46,2.612,2.782
299,299,0.045,0.197,0.367,0.46,0.612,0.782,0.875,1.045,1.197,1.367,1.46,1.612,1.782,1.875,2.045,2.197,2.367,2.46,2.612,2.782
300,300,0.045,0.197,0.367,0.46,0.63,0.782,0.875,1.045,1.197,1.367,1.46,1.63,1.782,1.875,2.045,2.197,2.367,2.46,2.63,2.782
301,301,0.045,0.197,0.367,0.46,0.63,0.782,0.875,1.045,1.197,1.367,1.46,1.63,1.782,1.875,2.045,2.197,2.367,2.46,2.63,2.782
302,302,0.045,0.197,0.367,0.46,0.63,0.782,0.952,1.045,1.197,1.367,1.46,1.63,1.782,1.952,2.045,2.197,2.367,2.46,2.63,2.782
303,303,0.045,0.197,0.367,0.46,0.63,0.782,0.952,1.045,1.197,1.367,1.46,1.63,1.782,1.952,2.045,2.197,2.367,2.46,2.63,2.782
304,304,0.045,0.215,0.367,0.46,0.63,0.782,0.952,1.045,1.215,1.367,1.46,1.63,1.782,1.952,2.045,2.215,2.367,2.46,2.63,2.782
305,305,0.045,0.215,0.367,0.46,0.63,0.782,0.952,1.045,1.215,1.367,1.46,1.63,1.782,1.952,2.045,2.215,2.367,2.46,2.63,2.782
306,306,0.045,0.215,0.367,0.537,0.63,0.782,0.952,1.045,1.215,1.367,1.537,1.63,1.782,1.952,2.045,2.215,2.367,2.537,2.63,2.782
307,307,0.045,0.215,0.367,0.537,0.63,0.782,0.952,1.045,1.215,1.367,1.537,1.63,1.782,1.952,2.045,2.215,2.367,2.537,2.63,2.782
308,308,0.045,0.215,0.367,0.537,0.63,0.8,0.952,1.045,1.215,1.367,1.537,1.63,1.8,1.952,2.045,2.215,2.367,2.537,2.63,2.8
309,309,0.045,0.215,0.367,0.537,0.63,0.8,0.952,1.045,1.215,1.367,1.537,1.63,1.8,1.952,2.045,2.215,2.367,2.537,2.63,2.8
310,310,0.122,0.215,0.367,0.537,0.63,0.8,0.952,1.122,1.215,1.367,1.537,1.63,1.8,1.952,2.122,2.215,2.367,2.537,2.63,2.8
311,311,0.122,0.215,0.367,0.537,0.63,0.8,0.952,1.122,1.215,1.367,1.537,1.63,1.8,1.952,2.122,2.215,2.367,2.537,2.63,2.8
312,312,0.122,0.215,0.385,0.537,0.63,0.8,0.952,1.122,1.215,1.385,1.537,1.63,1.8,1.952,2.122,2.215,2.385,2.537,2.63,2.8
313,313,0.122,0.215,0.385,0.537,0.63,0.8,0.952,1.122,1.215,1.385,1.537,1.63,1.8,1.952,2.122,2.215,2.385,2.537,2.63,2.8
314,314,0.122,0.215,0.385,0.537,0.707,0.8,0.952,1.122,1.215,1.385,1.537,1.707,1.8,1.952,2.122,2.215,2.385,2.537,2.707,2.8
315,315,0.122,0.215,0.385,0.537,0.707,0.8,0.952,1.122,1.215,1.385,1.537,1.707,1.8,1.952,2.122,2.215,2.385,2.537,2.707,2.8
316,316,0.122,0.215,0.385,0.537,0.707,0.8,0.97,1.122,1.215,1.385,1.537,1.707,1.8,1.97,2.122,2.215,2.385,2.537,2.707,2.8
317,317,0.122,0.215,0.385,0.537,0.707,0.8,0.97,1.122,1.215,1.385,1.537,1.707,1.8,1.97,2.122,2.215,2.385,2.537,2.707,2.8
318,318,0.122,0.292,0.385,0.537,0.707,0.8,0.97,1.122,1.292,1.385,1.537,1.707,1.8,1.97,2.122,2.292,2.385,2.537,2.707,2.8
319,319,0.122,0.292,0.385,0.537,0.707,0.8,0.97,1.122,1.292,1.385,1.537,1.707,1.8,1.97,2.122,2.292,2.385,2.537,2.707,2.8
320,320,0.122,0.292,0.385,0.555,0.707,0.8,0.97,1.122,1.292,1.385,1.555,1.707,1.8,1.97,2.122,2.292,2.385,2.555,2.707,2.8
321,321,0.122,0.292,0.385,0.555,0.707,0.8,0.97,1.122,1.292,1.385,1.555,1.707,1.8,1.97,2.122,2.292,2.385,2.555,2.707,2.8
322,322,0.122,0.292,0.385,0.555,0.707,0.877,0.97,1.122,1.292,1.385,1.555,1.707,1.877,1.97,2.122,2.292,2.385,2.555,2.707,2.877
323,323,0.122,0.292,0.385,0.555,0.707,0.877,0.97,1.122,1.292,1.385,1.555,1.707,1.877,1.97,2.122,2.292,2.385,2.555,2.707,2.877
324,324,0.14,0.292,0.385,0.555,0.707,0.877,0.97,1.14,1.292,1.385,1.555,1.707,1.877,1.97,2.14,2.292,2.385,2.555,2.707,2.877
325,325,0.14,0.292,0.385,0.555,0.707,0.877,0.97,1.14,1.292,1.385,1.555,1.707,1.877,1.97,2.14,2.292,2.385,2.555,2.707,2.877
326,326,0.14,0.292,0.462,0.555,0.707,0.877,0.97,1.14,1.292,1.462,1.555,1.707,1.877,1.97,2.14,2.292,2.462,2.555,2.707,2.877
327,327,0.14,0.292,0.462,0.555,0.707,0.877,0.97,1.14,1.292,1.462,1.555,1.707,1.877,1.97,2.14,2.292,2.462,2.555,2.707,2.877
328,328,0.14,0.292,0.462,0.555,0.725,0.877,0.97,1.14,1.292,1.462,1.555,1.725,1.877,1.97,2.14,2.292,2.462,2.555,2.725,2.877
