##,###,S,C,A,L,E,S,!,S,C,A,L,E,S,!,S,C,A,L,E,S
37,37,0.02,0.172,0.265,0.435,0.587,0.757,0.85,1.02,1.172,1.265,1.435,1.587,1.757,1.85,2.02,2.172,2.265,2.435,2.587,2.757
38,38,0.02,0.172,0.342,0.435,0.587,0.757,0.85,1.02,1.172,1.342,1.435,1.587,1.757,1.85,2.02,2.172,2.342,2.435,2.587,2.757
39,39,0.02,0.172,0.342,0.435,0.587,0.757,0.85,1.02,1.172,1.342,1.435,1.587,1.757,1.85,2.02,2.172,2.342,2.435,2.587,2.757
40,40,0.02,0.172,0.342,0.435,0.605,0.757,0.85,1.02,1.172,1.342,1.435,1.605,1.757,1.85,2.02,2.172,2.342,2.435,2.605,2.757
41,41,0.02,0.172,0.342,0.435,0.605,0.757,0.85,1.02,1.172,1.342,1.435,1.605,1.757,1.85,2.02,2.172,2.342,2.435,2.605,2.757
42,42,0.02,0.172,0.342,0.435,0.605,0.757,0.927,1.02,1.172,1.342,1.435,1.605,1.757,1.927,2.02,2.172,2.342,2.435,2.605,2.757
43,43,0.02,0.172,0.342,0.435,0.605,0.757,0.927,1.02,1.172,1.342,1.435,1.605,1.757,1.927,2.02,2.172,2.342,2.435,2.605,2.757
44,44,0.02,0.19,0.342,0.435,0.605,0.757,0.927,1.02,1.19,1.342,1.435,1.605,1.757,1.927,2.02,2.19,2.342,2.435,2.605,2.757
45,45,0.02,0.19,0.342,0.435,0.605,0.757,0.927,1.02,1.19,1.342,1.435,1.605,1.757,1.927,2.02,2.19,2.342,2.435,2.605,2.757
46,46,0.02,0.19,0.342,0.512,0.605,0.757,0.927,1.02,1.19,1.342,1.512,1.605,1.757,1.927,2.02,2.19,2.342,2.512,2.605,2.757
47,47,0.02,0.19,0.342,0.512,0.605,0.757,0.927,1.02,1.19,1.342,1.512,1.605,1.757,1.927,2.02,2.19,2.342,2.512,2.605,2.757
48,48,0.02,0.19,0.342,0.512,0.605,0.775,0.927,1.02,1.19,1.342,1.512,1.605,1.775,1.927,2.02,2.19,2.342,2.512,2.605,2.775
49,49,0.02,0.19,0.342,0.512,0.605,0.775,0.927,1.02,1.19,1.342,1.512,1.605,1.775,1.927,2.02,2.19,2.342,2.512,2.605,2.775
50,50,0.097,0.19,0.342,0.512,0.605,0.775,0.927,1.097,1.19,1.342,1.512,1.605,1.775,1.927,2.097,2.19,2.342,2.512,2.605,2.775
51,51,0.097,0.19,0.342,0.512,0.605,0.775,0.927,1.097,1.19,1.342,1.512,1.605,1.775,1.927,2.097,2.19,2.342,2.512,2.605,2.775
52,52,0.097,0.19,0.36,0.512,0.605,0.775,0.927,1.097,1.19,1.36,1.512,1.605,1.775,1.927,2.097,2.19,2.36,2.512,2.605,2.775
53,53,0.097,0.19,0.36,0.512,0.605,0.775,0.927,1.097,1.19,1.36,1.512,1.605,1.775,1.927,2.097,2.19,2.36,2.512,2.605,2.775
54,54,0.097,0.19,0.36,0.512,0.682,0.775,0.927,1.097,1.19,1.36,1.512,1.682,1.775,1.927,2.097,2.19,2.36,2.512,2.682,2.775
55,55,0.097,0.19,0.36,0.512,0.682,0.775,0.927,1.097,1.19,1.36,1.512,1.682,1.775,1.927,2.097,2.19,2.36,2.512,2.682,2.775
56,56,0.097,0.19,0.36,0.512,0.682,0.775,0.945,1.097,1.19,1.36,1.512,1.682,1.775,1.945,2.097,2.19,2.36,2.512,2.682,2.775
57,57,0.097,0.19,0.36,0.512,0.682,0.775,0.945,1.097,1.19,1.36,1.512,1.682,1.775,1.945,2.097,2.19,2.36,2.512,2.682,2.775
