###,p,4,6,1,3,5,7,2,#4,6,#1,3,#5,b7,b9,11,b13,1,b3,5,b7
32,32,0.095,0.417,0.68,0.002,0.265,0.587,0.85,0.172,0.435,0.757,0.02,0.342,0.605,0.927,0.19,0.512,0.775,0.097,0.36,0.682
33,33,0.095,0.417,0.68,0.002,0.265,0.587,0.85,0.172,0.435,0.757,0.02,0.342,0.605,0.927,0.19,0.512,0.775,0.097,0.36,0.682
34,34,0.417,0.68,0.002,0.265,0.587,0.85,0.172,0.435,0.757,0.02,0.342,0.605,0.927,0.19,0.512,0.775,0.097,0.36,0.682,0.945
35,35,0.417,0.68,0.002,0.265,0.587,0.85,0.172,0.435,0.757,0.02,0.342,0.605,0.927,0.19,0.512,0.775,0.097,0.36,0.682,0.945
36,36,0.68,0.002,0.265,0.587,0.85,0.172,0.435,0.757,0.02,0.342,0.605,0.927,0.19,0.512,0.775,0.097,0.36,0.682,0.945,0.267
37,37,0.68,0.002,0.265,0.587,0.85,0.172,0.435,0.757,0.02,0.342,0.605,0.927,0.19,0.512,0.775,0.097,0.36,0.682,0.945,0.267
38,38,0.002,0.265,0.587,0.85,0.172,0.435,0.757,0.02,0.342,0.605,0.927,0.19,0.512,0.775,0.097,0.36,0.682,0.945,0.267,0.53
39,39,0.002,0.265,0.587,0.85,0.172,0.435,0.757,0.02,0.342,0.605,0.927,0.19,0.512,0.775,0.097,0.36,0.682,0.945,0.267,0.53
40,40,0.265,0.587,0.85,0.172,0.435,0.757,0.02,0.342,0.605,0.927,0.19,0.512,0.775,0.097,0.36,0.682,0.945,0.267,0.53,0.852
41,41,0.265,0.587,0.85,0.172,0.435,0.757,0.02,0.342,0.605,0.927,0.19,0.512,0.775,0.097,0.36,0.682,0.945,0.267,0.53,0.852
42,42,0.587,0.85,0.172,0.435,0.757,0.02,0.342,0.605,0.927,0.19,0.512,0.775,0.097,0.36,0.682,0.945,0.267,0.53,0.852,0.115
