##,###,1,2,3,4,5,6,7,1,2,3,4,5,6,7,1,2
40,40,0.435,0.605,0.757,0.85,1.02,1.172,1.342,1.435,1.605,1.757,1.85,2.02,2.172,2.342,2.435,2.605
41,41,0.435,0.605,0.757,0.85,1.02,1.172,1.342,1.435,1.605,1.757,1.85,2.02,2.172,2.342,2.435,2.605
42,42,0.757,0.927,1.02,1.172,1.342,1.435,1.605,1.757,1.927,2.02,2.172,2.342,2.435,2.605,2.757,2.927
43,43,0.757,0.927,1.02,1.172,1.342,1.435,1.605,1.757,1.927,2.02,2.172,2.342,2.435,2.605,2.757,2.927
44,44,0.02,0.19,0.342,0.435,0.605,0.757,0.927,1.02,1.19,1.342,1.435,1.605,1.757,1.927,2.02,2.19
45,45,0.02,0.19,0.342,0.435,0.605,0.757,0.927,1.02,1.19,1.342,1.435,1.605,1.757,1.927,2.02,2.19
46,46,0.342,0.512,0.605,0.757,0.927,1.02,1.19,1.342,1.512,1.605,1.757,1.927,2.02,2.19,2.342,2.512
47,47,0.342,0.512,0.605,0.757,0.927,1.02,1.19,1.342,1.512,1.605,1.757,1.927,2.02,2.19,2.342,2.512
48,48,0.605,0.775,0.927,1.02,1.19,1.342,1.512,1.605,1.775,1.927,2.02,2.19,2.342,2.512,2.605,2.775
49,49,0.605,0.775,0.927,1.02,1.19,1.342,1.512,1.605,1.775,1.927,2.02,2.19,2.342,2.512,2.605,2.775
50,50,0.927,1.097,1.19,1.342,1.512,1.605,1.775,1.927,2.097,2.19,2.342,2.512,2.605,2.775,2.927,3.097
51,51,0.927,1.097,1.19,1.342,1.512,1.605,1.775,1.927,2.097,2.19,2.342,2.512,2.605,2.775,2.927,3.097
52,52,0.19,0.359999999999999,0.512,0.605,0.775,0.927,1.097,1.19,1.36,1.512,1.605,1.775,1.927,2.097,2.19,2.36
53,53,0.19,0.359999999999999,0.512,0.605,0.775,0.927,1.097,1.19,1.36,1.512,1.605,1.775,1.927,2.097,2.19,2.36
54,54,0.512,0.682,0.775,0.927,1.097,1.19,1.36,1.512,1.682,1.775,1.927,2.097,2.19,2.36,2.512,2.682
55,55,0.512,0.682,0.775,0.927,1.097,1.19,1.36,1.512,1.682,1.775,1.927,2.097,2.19,2.36,2.512,2.682
56,56,0.775,0.944999999999999,1.097,1.19,1.36,1.512,1.682,1.775,1.945,2.097,2.19,2.36,2.512,2.682,2.775,2.945
57,57,0.775,0.944999999999999,1.097,1.19,1.36,1.512,1.682,1.775,1.945,2.097,2.19,2.36,2.512,2.682,2.775,2.945
58,58,0.097,0.266999999999999,0.359999999999999,0.512,0.682,0.775,0.944999999999999,1.097,1.267,1.36,1.512,1.682,1.775,1.945,2.097,2.267
59,59,0.097,0.266999999999999,0.359999999999999,0.512,0.682,0.775,0.944999999999999,1.097,1.267,1.36,1.512,1.682,1.775,1.945,2.097,2.267
60,60,0.359999999999999,0.529999999999999,0.682,0.775,0.944999999999999,1.097,1.267,1.36,1.53,1.682,1.775,1.945,2.097,2.267,2.36,2.53
61,61,0.359999999999999,0.529999999999999,0.682,0.775,0.944999999999999,1.097,1.267,1.36,1.53,1.682,1.775,1.945,2.097,2.267,2.36,2.53
62,62,0.682,0.851999999999999,0.944999999999999,1.097,1.267,1.36,1.53,1.682,1.852,1.945,2.097,2.267,2.36,2.53,2.682,2.852
63,63,0.682,0.851999999999999,0.944999999999999,1.097,1.267,1.36,1.53,1.682,1.852,1.945,2.097,2.267,2.36,2.53,2.682,2.852
64,64,0.944999999999999,1.115,1.267,1.36,1.53,1.682,1.852,1.945,2.115,2.267,2.36,2.53,2.682,2.852,2.945,3.115
