##,###,b5,~7,b2,~4,b6,~1,b3,~5,b7,~2,4,~6,1,~3,5,~7,2,~4,6,~1
0,0,0.989999999999997,0.311999999999997,0.574999999999997,0.896999999999997,0.159999999999997,0.481999999999997,0.744999999999997,0.066999999999997,0.329999999999997,0.651999999999997,0.914999999999997,0.236999999999997,0.499999999999996,0.821999999999997,0.084999999999996,0.406999999999996,0.669999999999996,0.991999999999996,0.254999999999996,0.576999999999996
1,1,0.989999999999997,0.311999999999997,0.574999999999997,0.896999999999997,0.159999999999997,0.481999999999997,0.744999999999997,0.066999999999997,0.329999999999997,0.651999999999997,0.914999999999997,0.236999999999997,0.499999999999996,0.821999999999997,0.084999999999996,0.406999999999996,0.669999999999996,0.991999999999996,0.254999999999996,0.576999999999996
2,2,0.311999999999997,0.574999999999997,0.896999999999997,0.159999999999997,0.481999999999997,0.744999999999997,0.066999999999997,0.329999999999997,0.651999999999997,0.914999999999997,0.236999999999997,0.499999999999996,0.821999999999997,0.084999999999996,0.406999999999996,0.669999999999996,0.991999999999996,0.254999999999996,0.576999999999996,0.839999999999996
3,3,0.311999999999997,0.574999999999997,0.896999999999997,0.159999999999997,0.481999999999997,0.744999999999997,0.066999999999997,0.329999999999997,0.651999999999997,0.914999999999997,0.236999999999997,0.499999999999996,0.821999999999997,0.084999999999996,0.406999999999996,0.669999999999996,0.991999999999996,0.254999999999996,0.576999999999996,0.839999999999996
4,4,0.574999999999997,0.896999999999997,0.159999999999997,0.481999999999997,0.744999999999997,0.066999999999997,0.329999999999997,0.651999999999997,0.914999999999997,0.236999999999997,0.499999999999996,0.821999999999997,0.084999999999996,0.406999999999996,0.669999999999996,0.991999999999996,0.254999999999996,0.576999999999996,0.839999999999996,0.161999999999996
5,5,0.574999999999997,0.896999999999997,0.159999999999997,0.481999999999997,0.744999999999997,0.066999999999997,0.329999999999997,0.651999999999997,0.914999999999997,0.236999999999997,0.499999999999996,0.821999999999997,0.084999999999996,0.406999999999996,0.669999999999996,0.991999999999996,0.254999999999996,0.576999999999996,0.839999999999996,0.161999999999996
6,6,0.896999999999997,0.159999999999997,0.481999999999997,0.744999999999997,0.066999999999997,0.329999999999997,0.651999999999997,0.914999999999997,0.236999999999997,0.499999999999996,0.821999999999997,0.084999999999996,0.406999999999996,0.669999999999996,0.991999999999996,0.254999999999996,0.576999999999996,0.839999999999996,0.161999999999996,0.424999999999996
7,7,0.896999999999997,0.159999999999997,0.481999999999997,0.744999999999997,0.066999999999997,0.329999999999997,0.651999999999997,0.914999999999997,0.236999999999997,0.499999999999996,0.821999999999997,0.084999999999996,0.406999999999996,0.669999999999996,0.991999999999996,0.254999999999996,0.576999999999996,0.839999999999996,0.161999999999996,0.424999999999996
8,8,0.159999999999997,0.481999999999997,0.744999999999997,0.066999999999997,0.329999999999997,0.651999999999997,0.914999999999997,0.236999999999997,0.499999999999996,0.821999999999997,0.084999999999996,0.406999999999996,0.669999999999996,0.991999999999996,0.254999999999996,0.576999999999996,0.839999999999996,0.161999999999996,0.424999999999996,0.746999999999996
9,9,0.159999999999997,0.481999999999997,0.744999999999997,0.066999999999997,0.329999999999997,0.651999999999997,0.914999999999997,0.236999999999997,0.499999999999996,0.821999999999997,0.084999999999996,0.406999999999996,0.669999999999996,0.991999999999996,0.254999999999996,0.576999999999996,0.839999999999996,0.161999999999996,0.424999999999996,0.746999999999996
10,10,0.481999999999997,0.744999999999997,0.066999999999997,0.329999999999997,0.651999999999997,0.914999999999997,0.236999999999997,0.499999999999996,0.821999999999997,0.084999999999996,0.406999999999996,0.669999999999996,0.991999999999996,0.254999999999996,0.576999999999996,0.839999999999996,0.161999999999996,0.424999999999996,0.746999999999996,0.009999999999996
11,11,0.481999999999997,0.744999999999997,0.066999999999997,0.329999999999997,0.651999999999997,0.914999999999997,0.236999999999997,0.499999999999996,0.821999999999997,0.084999999999996,0.406999999999996,0.669999999999996,0.991999999999996,0.254999999999996,0.576999999999996,0.839999999999996,0.161999999999996,0.424999999999996,0.746999999999996,0.009999999999996
12,12,0.744999999999997,0.066999999999997,0.329999999999997,0.651999999999997,0.914999999999997,0.236999999999997,0.499999999999996,0.821999999999997,0.084999999999996,0.406999999999996,0.669999999999996,0.991999999999996,0.254999999999996,0.576999999999996,0.839999999999996,0.161999999999996,0.424999999999996,0.746999999999996,0.009999999999996,0.331999999999996
13,13,0.744999999999997,0.066999999999997,0.329999999999997,0.651999999999997,0.914999999999997,0.236999999999997,0.499999999999996,0.821999999999997,0.084999999999996,0.406999999999996,0.669999999999996,0.991999999999996,0.254999999999996,0.576999999999996,0.839999999999996,0.161999999999996,0.424999999999996,0.746999999999996,0.009999999999996,0.331999999999996
14,14,0.066999999999997,0.329999999999997,0.651999999999997,0.914999999999997,0.236999999999997,0.499999999999996,0.821999999999997,0.084999999999996,0.406999999999996,0.669999999999996,0.991999999999996,0.254999999999996,0.576999999999996,0.839999999999996,0.161999999999996,0.424999999999996,0.746999999999996,0.009999999999996,0.331999999999996,0.594999999999996
15,15,0.066999999999997,0.329999999999997,0.651999999999997,0.914999999999997,0.236999999999997,0.499999999999996,0.821999999999997,0.084999999999996,0.406999999999996,0.669999999999996,0.991999999999996,0.254999999999996,0.576999999999996,0.839999999999996,0.161999999999996,0.424999999999996,0.746999999999996,0.009999999999996,0.331999999999996,0.594999999999996
16,16,0.329999999999997,0.651999999999997,0.914999999999997,0.236999999999997,0.499999999999996,0.821999999999997,0.084999999999996,0.406999999999996,0.669999999999996,0.991999999999996,0.254999999999996,0.576999999999996,0.839999999999996,0.161999999999996,0.424999999999996,0.746999999999996,0.009999999999996,0.331999999999996,0.594999999999996,0.916999999999996
17,17,0.329999999999997,0.651999999999997,0.914999999999997,0.236999999999997,0.499999999999996,0.821999999999997,0.084999999999996,0.406999999999996,0.669999999999996,0.991999999999996,0.254999999999996,0.576999999999996,0.839999999999996,0.161999999999996,0.424999999999996,0.746999999999996,0.009999999999996,0.331999999999996,0.594999999999996,0.916999999999996
18,18,0.651999999999997,0.914999999999997,0.236999999999997,0.499999999999996,0.821999999999997,0.084999999999996,0.406999999999996,0.669999999999996,0.991999999999996,0.254999999999996,0.576999999999996,0.839999999999996,0.161999999999996,0.424999999999996,0.746999999999996,0.009999999999996,0.331999999999996,0.594999999999996,0.916999999999996,0.179999999999996
19,19,0.651999999999997,0.914999999999997,0.236999999999997,0.499999999999996,0.821999999999997,0.084999999999996,0.406999999999996,0.669999999999996,0.991999999999996,0.254999999999996,0.576999999999996,0.839999999999996,0.161999999999996,0.424999999999996,0.746999999999996,0.009999999999996,0.331999999999996,0.594999999999996,0.916999999999996,0.179999999999996
20,20,0.914999999999997,0.236999999999997,0.499999999999996,0.821999999999997,0.084999999999996,0.406999999999996,0.669999999999996,0.991999999999996,0.254999999999996,0.576999999999996,0.839999999999996,0.161999999999996,0.424999999999996,0.746999999999996,0.009999999999996,0.331999999999996,0.594999999999996,0.916999999999996,0.179999999999996,0.501999999999996
21,21,0.914999999999997,0.236999999999997,0.499999999999996,0.821999999999997,0.084999999999996,0.406999999999996,0.669999999999996,0.991999999999996,0.254999999999996,0.576999999999996,0.839999999999996,0.161999999999996,0.424999999999996,0.746999999999996,0.009999999999996,0.331999999999996,0.594999999999996,0.916999999999996,0.179999999999996,0.501999999999996
22,22,0.236999999999997,0.499999999999996,0.821999999999997,0.084999999999996,0.406999999999996,0.669999999999996,0.991999999999996,0.254999999999996,0.576999999999996,0.839999999999996,0.161999999999996,0.424999999999996,0.746999999999996,0.009999999999996,0.331999999999996,0.594999999999996,0.916999999999996,0.179999999999996,0.501999999999996,0.764999999999996
23,23,0.236999999999997,0.499999999999996,0.821999999999997,0.084999999999996,0.406999999999996,0.669999999999996,0.991999999999996,0.254999999999996,0.576999999999996,0.839999999999996,0.161999999999996,0.424999999999996,0.746999999999996,0.009999999999996,0.331999999999996,0.594999999999996,0.916999999999996,0.179999999999996,0.501999999999996,0.764999999999996
24,24,0.499999999999996,0.821999999999997,0.084999999999996,0.406999999999996,0.669999999999996,0.991999999999996,0.254999999999996,0.576999999999996,0.839999999999996,0.161999999999996,0.424999999999996,0.746999999999996,0.009999999999996,0.331999999999996,0.594999999999996,0.916999999999996,0.179999999999996,0.501999999999996,0.764999999999996,0.086999999999996
25,25,0.499999999999996,0.821999999999997,0.084999999999996,0.406999999999996,0.669999999999996,0.991999999999996,0.254999999999996,0.576999999999996,0.839999999999996,0.161999999999996,0.424999999999996,0.746999999999996,0.009999999999996,0.331999999999996,0.594999999999996,0.916999999999996,0.179999999999996,0.501999999999996,0.764999999999996,0.086999999999996
26,26,0.821999999999997,0.084999999999996,0.406999999999996,0.669999999999996,0.991999999999996,0.254999999999996,0.576999999999996,0.839999999999996,0.161999999999996,0.424999999999996,0.746999999999996,0.009999999999996,0.331999999999996,0.594999999999996,0.916999999999996,0.179999999999996,0.501999999999996,0.764999999999996,0.086999999999996,0.349999999999996
27,27,0.821999999999997,0.084999999999996,0.406999999999996,0.669999999999996,0.991999999999996,0.254999999999996,0.576999999999996,0.839999999999996,0.161999999999996,0.424999999999996,0.746999999999996,0.009999999999996,0.331999999999996,0.594999999999996,0.916999999999996,0.179999999999996,0.501999999999996,0.764999999999996,0.086999999999996,0.349999999999996
28,28,0.084999999999996,0.406999999999996,0.669999999999996,0.991999999999996,0.254999999999996,0.576999999999996,0.839999999999996,0.161999999999996,0.424999999999996,0.746999999999996,0.009999999999996,0.331999999999996,0.594999999999996,0.916999999999996,0.179999999999996,0.501999999999996,0.764999999999996,0.086999999999996,0.349999999999996,0.671999999999996
29,29,0.084999999999996,0.406999999999996,0.669999999999996,0.991999999999996,0.254999999999996,0.576999999999996,0.839999999999996,0.161999999999996,0.424999999999996,0.746999999999996,0.009999999999996,0.331999999999996,0.594999999999996,0.916999999999996,0.179999999999996,0.501999999999996,0.764999999999996,0.086999999999996,0.349999999999996,0.671999999999996
30,30,0.406999999999996,0.669999999999996,0.991999999999996,0.254999999999996,0.576999999999996,0.839999999999996,0.161999999999996,0.424999999999996,0.746999999999996,0.009999999999996,0.331999999999996,0.594999999999996,0.916999999999996,0.179999999999996,0.501999999999996,0.764999999999996,0.086999999999996,0.349999999999996,0.671999999999996,0.934999999999996
31,31,0.406999999999996,0.669999999999996,0.991999999999996,0.254999999999996,0.576999999999996,0.839999999999996,0.161999999999996,0.424999999999996,0.746999999999996,0.009999999999996,0.331999999999996,0.594999999999996,0.916999999999996,0.179999999999996,0.501999999999996,0.764999999999996,0.086999999999996,0.349999999999996,0.671999999999996,0.934999999999996
