##,###,4,6,1,3,5,7,2,4,6,1,3,5,7,2,4,6,1,3,5,7
32,32,0.68,0.002,0.265,0.587,0.85,0.172,0.435,1.68,1.002,1.265,1.587,1.85,1.172,1.435,2.68,2.002,2.265,2.587,2.85,2.172
33,33,0.68,0.002,0.265,0.587,0.85,0.172,0.435,1.68,1.002,1.265,1.587,1.85,1.172,1.435,2.68,2.002,2.265,2.587,2.85,2.172
34,34,0.002,0.265,0.587,0.85,0.172,0.435,0.757,1.002,1.265,1.587,1.85,1.172,1.435,1.757,2.002,2.265,2.587,2.85,2.172,2.435
35,35,0.002,0.265,0.587,0.85,0.172,0.435,0.757,1.002,1.265,1.587,1.85,1.172,1.435,1.757,2.002,2.265,2.587,2.85,2.172,2.435
36,36,0.265,0.587,0.85,0.172,0.435,0.757,0.02,1.265,1.587,1.85,1.172,1.435,1.757,1.02,2.265,2.587,2.85,2.172,2.435,2.757
37,37,0.265,0.587,0.85,0.172,0.435,0.757,0.02,1.265,1.587,1.85,1.172,1.435,1.757,1.02,2.265,2.587,2.85,2.172,2.435,2.757
38,38,0.587,0.85,0.172,0.435,0.757,0.02,0.342,1.587,1.85,1.172,1.435,1.757,1.02,1.342,2.587,2.85,2.172,2.435,2.757,2.02
39,39,0.587,0.85,0.172,0.435,0.757,0.02,0.342,1.587,1.85,1.172,1.435,1.757,1.02,1.342,2.587,2.85,2.172,2.435,2.757,2.02
40,40,0.85,0.172,0.435,0.757,0.02,0.342,0.605,1.85,1.172,1.435,1.757,1.02,1.342,1.605,2.85,2.172,2.435,2.757,2.02,2.342
41,41,0.85,0.172,0.435,0.757,0.02,0.342,0.605,1.85,1.172,1.435,1.757,1.02,1.342,1.605,2.85,2.172,2.435,2.757,2.02,2.342
42,42,0.172,0.435,0.757,0.02,0.342,0.605,0.927,1.172,1.435,1.757,1.02,1.342,1.605,1.927,2.172,2.435,2.757,2.02,2.342,2.605
43,43,0.172,0.435,0.757,0.02,0.342,0.605,0.927,1.172,1.435,1.757,1.02,1.342,1.605,1.927,2.172,2.435,2.757,2.02,2.342,2.605
44,44,0.435,0.757,0.02,0.342,0.605,0.927,0.19,1.435,1.757,1.02,1.342,1.605,1.927,1.19,2.435,2.757,2.02,2.342,2.605,2.927
45,45,0.435,0.757,0.02,0.342,0.605,0.927,0.19,1.435,1.757,1.02,1.342,1.605,1.927,1.19,2.435,2.757,2.02,2.342,2.605,2.927
46,46,0.757,0.02,0.342,0.605,0.927,0.19,0.512,1.757,1.02,1.342,1.605,1.927,1.19,1.512,2.757,2.02,2.342,2.605,2.927,2.19
47,47,0.757,0.02,0.342,0.605,0.927,0.19,0.512,1.757,1.02,1.342,1.605,1.927,1.19,1.512,2.757,2.02,2.342,2.605,2.927,2.19
48,48,0.02,0.342,0.605,0.927,0.19,0.512,0.775,1.02,1.342,1.605,1.927,1.19,1.512,1.775,2.02,2.342,2.605,2.927,2.19,2.512
49,49,0.02,0.342,0.605,0.927,0.19,0.512,0.775,1.02,1.342,1.605,1.927,1.19,1.512,1.775,2.02,2.342,2.605,2.927,2.19,2.512
50,50,0.342,0.605,0.927,0.19,0.512,0.775,0.097,1.342,1.605,1.927,1.19,1.512,1.775,1.097,2.342,2.605,2.927,2.19,2.512,2.775
