ticks,msecs,bass
1,1,0.333333333333333
2,2,0.75
3,3,0.75
4,4,0.166666666666667
5,5,0.166666666666667
6,6,0.583333333333333
7,7,0.583333333333333
8,8,0
9,9,0
10,10,0.416666666666667
11,11,0.416666666666667
12,12,0.916666666666667
13,13,0.333333333333333
14,14,0.75
15,15,0.75
16,16,0.166666666666667
17,17,0.166666666666667
18,18,0.583333333333333
19,19,0.583333333333333
20,20,0
21,21,0
22,22,0.416666666666667
23,23,0.416666666666667
24,24,0.833333333333333
25,25,0.833333333333333
26,26,0.333333333333333
27,27,0.75
28,28,0.166666666666667
29,29,0.166666666666667
30,30,0.583333333333333
31,31,0.583333333333333
32,32,0
33,33,0
34,34,0.416666666666667
35,35,0.416666666666667
36,36,0.833333333333333
37,37,0.833333333333333
38,38,0.25
39,39,0.25
40,40,0.75
41,41,0.166666666666667
42,42,0.583333333333333
43,43,0.583333333333333
44,44,0
45,45,0
46,46,0.416666666666667
47,47,0.416666666666667
48,48,0.833333333333333
49,49,0.833333333333333
50,50,0.25
51,51,0.25
52,52,0.666666666666667
53,53,0.666666666666667
54,54,0.166666666666667
55,55,0.583333333333333
56,56,0
57,57,0
58,58,0.416666666666667
59,59,0.416666666666667
60,60,0.833333333333333
61,61,0.833333333333333
62,62,0.25
63,63,0.25
64,64,0.666666666666667
65,65,0.666666666666667
66,66,0.083333333333333
67,67,0.083333333333333
68,68,0.583333333333333
69,69,0
70,70,0.416666666666667
71,71,0.416666666666667
72,72,0.833333333333333
73,73,0.833333333333333
74,74,0.25
75,75,0.25
76,76,0.666666666666667
77,77,0.666666666666667
78,78,0.083333333333333
79,79,0.083333333333333
80,80,0.5
81,81,0.5
82,82,0
83,83,0.416666666666667
84,84,0.833333333333333
85,85,0.833333333333333
86,86,0.25
87,87,0.25
88,88,0.666666666666667
89,89,0.666666666666667
90,90,0.083333333333333
91,91,0.083333333333333
92,92,0.5
93,93,0.5
94,94,0.916666666666667
95,95,0.916666666666667
96,96,0.416666666666667
97,97,0.833333333333333
98,98,0.25
99,99,0.25
100,100,0.666666666666667
101,101,0.666666666666667
102,102,0.083333333333333
103,103,0.083333333333333
104,104,0.5
105,105,0.5
106,106,0.916666666666667
107,107,0.916666666666667
108,108,0.333333333333333
109,109,0.333333333333333
110,110,0.833333333333333
111,111,0.25
112,112,0.666666666666667
113,113,0.666666666666667
114,114,0.083333333333333
115,115,0.083333333333333
116,116,0.5
117,117,0.5
118,118,0.916666666666667
119,119,0.916666666666667
120,120,0.333333333333333
121,121,0.333333333333333
122,122,0.75
123,123,0.75
124,124,0.25
125,125,0.666666666666667
126,126,0.083333333333333
127,127,0.083333333333333
128,128,0.5
129,129,0.5
130,130,0.916666666666667
131,131,0.916666666666667
132,132,0.333333333333333
133,133,0.333333333333333
134,134,0.75
135,135,0.75
136,136,0.166666666666667
137,137,0.166666666666667
138,138,0.666666666666667
139,139,0.083333333333333
140,140,0.5
141,141,0.5
142,142,0.916666666666667
143,143,0.916666666666667
144,144,0.333333333333333
145,145,0.333333333333333
146,146,0.75
147,147,0.75
148,148,0.166666666666667
149,149,0.166666666666667
150,150,0.583333333333333
151,151,0.583333333333333
152,152,0.083333333333333
153,153,0.5
154,154,0.916666666666667
155,155,0.916666666666667
156,156,0.333333333333333
157,157,0.333333333333333
158,158,0.75
159,159,0.75
160,160,0.166666666666667
161,161,0.166666666666667
162,162,0.583333333333333
163,163,0.583333333333333
164,164,0
165,165,0
166,166,0.5
167,167,0.916666666666667
168,168,0.333333333333333
